"survived","class"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","I"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
"Yes","II"
